Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
韋,qui2,,q,ui, 2 
韭,kiu2,,k,iu, 2 
音,qim1,,q,im, 1 
頁,qiap8,,q,iap, 8 
風,hong1,,h,ong, 1 
風,hong2,0.10 ,h,ong, 2 
飛,hui1,,h,ui, 1 
食,sit8,,s,it, 8 
食,su7,0.01 ,s,u, 7 
首,siu2,,s,iu, 2 
首,siu3,,s,iu, 3 
香,hiang1,,h,iang, 1 
𠁭,ki5,,k,i, 5 
𠈭,lo5,,l,o, 5 
𠈮,khi3,0.01 ,kh,i, 3 
𠈯,peng1,0.01 ,p,eng, 1 
𠈲,hoat8,0.01 ,h,oat, 8 
𠈴,chi1,0.01 ,ch,i, 1 
𠈵,bong2,,b,ong, 2 
𠈶,gip8,,g,ip, 8 
𠈸,thek4,,th,ek, 4 
𠈺,pi7,,p,i, 7 
𠉔,peng1,0.01 ,p,eng, 1 
𠜒,lek4,,l,ek, 4 
𠜓,thek4,,th,ek, 4 
𠜚,heng5,,h,eng, 5 
𠜛,kong1,0.01 ,k,ong, 1 
𠡞,bok8,,b,ok, 8 
𡇛,tit8,0.01 ,t,it, 8 
𡜉,jiam7,,j,iam, 7 
𡧯,chhek8,0.01 ,chh,ek, 8 
𡬪,lainn7,0.01 ,l,ainn, 7 
𢂓,thong1,0.01 ,th,ong, 1 
𢂔,hong5,,h,ong, 5 
𢈈,kham1,,kh,am, 1 
𢈉,tong5,,t,ong, 5 
𢓜,kek4,,k,ek, 4 
𢓟,tiu3,,t,iu, 3 
𢫫,lut8,,l,ut, 8 
𢼌,pau7,,p,au, 7 
𣐈,khi7,0.01 ,kh,i, 7 
𣐤,kheng7,0.01 ,kh,eng, 7 
𣬼,phi1,,ph,i, 1 
𤰭,chhi1,,chh,i, 1 
𤿏,lam7,,l,am, 7 
𥄉,hiau1,,h,iau, 1 
𥄔,poe3,,p,oe, 3 
𥄖,hit4,,h,it, 4 
𦊕,chhia1,0.01 ,chh,ia, 1 
𦍒,that4,,th,at, 4 
𦙭,tong5,,t,ong, 5 
𦙳,chhin2,0.01 ,chh,in, 2 
𦬸,chhut8,,chh,ut, 8 
𧴤,phok4,,ph,ok, 4 
𨊠,hoan7,0.01 ,h,oan, 7 
𨒌,chheng1,,chh,eng, 1 
㑣,lam5,,l,am, 5 
㑥,qi7,,q,i, 7 
㑦,le7,,l,e, 7 
㔞,khoai1,,kh,oai, 1 
㖐,bi5,,b,i, 5 
㖐,qui2,,q,ui, 2 
㛖,so1,,s,o, 1 
㛖,soe2,,s,oe, 2 
㛘,phut4,,ph,ut, 4 
㝗,long5,,l,ong, 5 
㝶,tek4,0.01 ,t,ek, 4 
㟍,long5,,l,ong, 5 
㟏,ham1,,h,am, 1 
㤳,pui2,,p,ui, 2 
㧘,chhu3,,chh,u, 3 
㧘,chi1,,ch,i, 1 
㭜,jiong5,,j,iong, 5 
㱿,khak8,,kh,ak, 8 
㳬,soan5,0.01 ,s,oan, 5 
㽜,qoan2,0.01 ,q,oan, 2 
䍃,qiau5,,q,iau, 5 
䏬,boo5,,b,oo, 5 
䒶,thian1,0.01 ,th,ian, 1 
䡅,thun1,,th,un, 1 
丵,chiok4,,ch,iok, 4 
乘,seng5,,s,eng, 5 
乘,seng7,,s,eng, 7 
亳,pok8,,p,ok, 8 
修,siu1,,s,iu, 1 
俯,hu2,,h,u, 2 
俰,ho7,,h,o, 7 
俱,ki1,,k,i, 1 
俱,ki7,,k,i, 7 
俲,hau7,0.01 ,h,au, 7 
俳,pai5,,p,ai, 5 
俳,poe5,,p,oe, 5 
俴,chhian2,,chh,ian, 2 
俵,piau3,,p,iau, 3 
俶,siok4,,s,iok, 4 
俶,thek4,0.01 ,th,ek, 4 
俷,hui2,,h,ui, 2 
俸,hong2,,h,ong, 2 
俸,hong7,,h,ong, 7 
俹,qa1,,q,a, 1 
俹,qa3,,q,a, 3 
俺,gan2,,g,an, 2 
俺,qiam3,,q,iam, 3 
俻,pi7,0.01 ,p,i, 7 
俼,qiok8,0.01 ,q,iok, 8 
俽,him1,,h,im, 1 
俾,phi3,,ph,i, 3 
俾,pi7,,p,i, 7 
俿,ti5,,t,i, 5 
倀,cheng3,,ch,eng, 3 
倀,chiang1,,ch,iang, 1 
倁,ti5,,t,i, 5 
倂,peng3,,p,eng, 3 
倃,kiu2,,k,iu, 2 
倄,haunn5,,h,aunn, 5 
倅,chhut4,,chh,ut, 4 
倅,chui3,,ch,ui, 3 
倆,liang2,,l,iang, 2 
倇,qoan2,,q,oan, 2 
倈,lai5,0.01 ,l,ai, 5 
倉,chong1,,ch,ong, 1 
倉,chong2,0.10 ,ch,ong, 2 
倊,chhong3,,chh,ong, 3 
個,ko3,,k,o, 3 
倌,koan1,,k,oan, 1 
倍,poe2,0.10 ,p,oe, 2 
倍,poe5,0.10 ,p,oe, 5 
倍,poe7,,p,oe, 7 
倎,thian2,,th,ian, 2 
倐,sek4,0.01 ,s,ek, 4 
倐,siok4,0.01 ,s,iok, 4 
們,bun7,,b,un, 7 
倒,to2,,t,o, 2 
倓,tam5,,t,am, 5 
倓,tam7,0.01 ,t,am, 7 
倔,kut8,,k,ut, 8 
倖,heng7,,h,eng, 7 
倗,peng5,,p,eng, 5 
倘,chiang2,,ch,iang, 2 
倘,thong2,,th,ong, 2 
候,hoo7,,h,oo, 7 
倚,ki1,,k,i, 1 
倚,qi2,,q,i, 2 
倛,khi1,,kh,i, 1 
倜,thek4,,th,ek, 4 
倝,kan3,,k,an, 3 
倞,kiang7,,k,iang, 7 
倞,liang7,,l,iang, 7 
借,chhek4,,chh,ek, 4 
借,chhia3,,chh,ia, 3 
倠,hui1,,h,ui, 1 
倡,chiang1,,ch,iang, 1 
倡,chiang3,,ch,iang, 3 
倢,chhiap8,,chh,iap, 8 
倢,chhiat8,,chh,iat, 8 
倣,hong2,0.01 ,h,ong, 2 
倥,khong1,,kh,ong, 1 
倥,khong2,,kh,ong, 2 
倦,koan7,,k,oan, 7 
倧,chhong1,,chh,ong, 1 
倨,ki3,,k,i, 3 
倩,cheng3,,ch,eng, 3 
倩,chian3,,ch,ian, 3 
倪,ge2,0.01 ,g,e, 2 
倪,ge5,,g,e, 5 
倫,lun5,,l,un, 5 
倬,tok4,,t,ok, 4 
倭,qo1,,q,o, 1 
倭,qoe1,,q,oe, 1 
倮,hoa2,,h,oa, 2 
倯,siong1,,s,iong, 1 
倯,siong5,,s,iong, 5 
倰,leng7,,l,eng, 7 
倱,hun2,,h,un, 2 
倲,tong1,,t,ong, 1 
倲,tong3,,t,ong, 3 
倳,chhu3,,chh,u, 3 
值,ti7,,t,i, 7 
偖,chia2,,ch,ia, 2 
党,tong2,,t,ong, 2 
兼,kiam1,,k,iam, 1 
冓,koo2,,k,oo, 2 
冔,hoo2,,h,oo, 2 
冢,thiong2,,th,iong, 2 
冤,qoan1,,q,oan, 1 
冥,beng5,,b,eng, 5 
凄,che1,0.01 ,ch,e, 1 
准,chhun2,,chh,un, 2 
凈,chheng7,0.01 ,chh,eng, 7 
凉,liang5,0.01 ,l,iang, 5 
凊,cheng3,,ch,eng, 3 
凋,tiau1,,t,iau, 1 
凌,leng5,,l,eng, 5 
凍,tong3,,t,ong, 3 
剒,chok4,,ch,ok, 4 
剓,li3,,l,i, 3 
剔,thek4,,th,ek, 4 
剖,phoo2,,ph,oo, 2 
剙,chong3,0.01 ,ch,ong, 3 
剚,chhu3,,chh,u, 3 
剛,kong1,,k,ong, 1 
剜,qoan1,,q,oan, 1 
剜,qoan2,,q,oan, 2 
剝,pak4,,p,ak, 4 
剞,ki5,,k,i, 5 
剟,toat4,,t,oat, 4 
剡,siam2,,s,iam, 2 
勏,poo7,,p,oo, 7 
勑,thit4,0.01 ,th,it, 4 
匪,hui2,,h,ui, 2 
卿,kheng1,,kh,eng, 1 
厝,choo3,,ch,oo, 3 
原,goan5,,g,oan, 5 
原,goan7,0.01 ,g,oan, 7 
叞,qut4,0.01 ,q,ut, 4 
叟,soo2,,s,oo, 2 
員,qoan5,,q,oan, 5 
哢,long7,,l,ong, 7 
哤,bang5,,b,ang, 5 
哥,ko1,,k,o, 1 
哦,go5,,g,o, 5 
哨,sau3,,s,au, 3 
哨,siau3,,s,iau, 3 
哩,li7,,l,i, 7 
哪,lo5,,l,o, 5 
哪,lo7,,l,o, 7 
哪,lonn5,,l,onn, 5 
哪,lonn7,,l,onn, 7 
哫,chiok4,,ch,iok, 4 
哭,khok4,,kh,ok, 4 
哮,hau1,,h,au, 1 
哲,tiat4,,t,iat, 4 
哶,bi2,,b,i, 2 
哺,poo7,,p,oo, 7 
哻,han7,,h,an, 7 
哽,keng2,,k,eng, 2 
哿,kho2,,kh,o, 2 
唁,gan7,,g,an, 7 
唄,poe3,,p,oe, 3 
唆,so1,,s,o, 1 
唇,tun5,0.01 ,t,un, 5 
唉,hai2,,h,ai, 2 
唉,qai1,,q,ai, 1 
唊,siap4,,s,iap, 4 
唐,tong5,,t,ong, 5 
圃,phoo2,,ph,oo, 2 
圄,gi2,,g,i, 2 
垻,pa3,0.01 ,p,a, 3 
埃,qai1,,q,ai, 1 
埆,khiak4,,kh,iak, 4 
埋,bai5,,b,ai, 5 
埒,loat8,,l,oat, 8 
埔,poo1,,p,oo, 1 
堲,chhek4,,chh,ek, 4 
夏,he7,,h,e, 7 
套,tho3,,th,o, 3 
奘,chhong7,,chh,ong, 7 
奚,he5,,h,e, 5 
姬,ki1,,k,i, 1 
娉,pheng1,,ph,eng, 1 
娌,li2,,l,i, 2 
娑,so1,,s,o, 1 
娘,liang5,,l,iang, 5 
娛,gi5,,g,i, 5 
娜,lonn2,,l,onn, 2 
娟,koan1,,k,oan, 1 
娠,sin1,,s,in, 1 
娣,te7,,t,e, 7 
娥,go5,,g,o, 5 
娩,bian2,,b,ian, 2 
娩,boan2,,b,oan, 2 
孫,sun1,,s,un, 1 
孫,sun3,0.01 ,s,un, 3 
宧,qi5,,q,i, 5 
宭,kun5,,k,un, 5 
宮,kiong1,,k,iong, 1 
宰,chhai2,,chh,ai, 2 
害,hai7,,h,ai, 7 
宴,qian3,,q,ian, 3 
宵,siau1,,s,iau, 1 
家,ke1,,k,e, 1 
宸,sin5,,s,in, 5 
容,qiong5,,q,iong, 5 
射,qek8,,q,ek, 8 
射,sek8,,s,ek, 8 
射,sia7,,s,ia, 7 
尅,khek4,0.01 ,kh,ek, 4 
屐,kek8,,k,ek, 8 
屑,siak4,,s,iak, 4 
展,tian2,,t,ian, 2 
峨,go5,,g,o, 5 
峭,siau3,,s,iau, 3 
峮,khun1,,kh,un, 1 
峯,hong1,,h,ong, 1 
峰,hong1,0.01 ,h,ong, 1 
峱,lonn5,,l,onn, 5 
峴,hian2,,h,ian, 2 
島,to2,,t,o, 2 
峺,keng7,,k,eng, 7 
峻,chhun3,,chh,un, 3 
峽,kiap4,,k,iap, 4 
峾,gin5,,g,in, 5 
差,che1,,ch,e, 1 
差,chi1,0.10 ,ch,i, 1 
帨,soe3,,s,oe, 3 
師,su1,,s,u, 1 
帬,kun5,0.01 ,k,un, 5 
席,sek8,,s,ek, 8 
座,chho7,,chh,o, 7 
庫,khoo3,,kh,oo, 3 
庭,teng5,,t,eng, 5 
弰,sau1,,s,au, 1 
弱,jiak8,,j,iak, 8 
彧,hiok4,,h,iok, 4 
徎,theng2,,th,eng, 2 
徐,chi5,,ch,i, 5 
徑,keng3,,k,eng, 3 
徒,too5,,t,oo, 5 
恁,jim2,,j,im, 2 
恁,jin2,,j,in, 2 
恐,khiong2,,kh,iong, 2 
恕,si3,,s,i, 3 
恙,qiang7,,q,iang, 7 
恚,hui7,,h,ui, 7 
恝,khiat4,,kh,iat, 4 
恣,chhu3,,chh,u, 3 
恥,thi2,,th,i, 2 
恩,qin1,,q,in, 1 
恭,kiong1,,k,iong, 1 
息,sit4,,s,it, 4 
悁,koan1,,k,oan, 1 
悃,khun2,,kh,un, 2 
悄,chiau2,,ch,iau, 2 
悅,qoat8,,q,oat, 8 
悋,lin7,,l,in, 7 
悌,te7,,t,e, 7 
悍,han2,,h,an, 2 
悒,qip4,,q,ip, 4 
悔,hoe3,,h,oe, 3 
悖,poe7,,p,oe, 7 
悚,siong2,,s,iong, 2 
悛,choan1,,ch,oan, 1 
悝,khoe1,,kh,oe, 1 
悞,goo7,,g,oo, 7 
悟,goo7,,g,oo, 7 
扅,qi5,,q,i, 5 
扆,qi2,,q,i, 2 
扇,sian3,,s,ian, 3 
拳,khoan5,,kh,oan, 5 
拿,lann2,,l,ann, 2 
挈,khiat4,,kh,iat, 4 
挨,qai1,,q,ai, 1 
挫,cho3,,ch,o, 3 
挬,put8,,p,ut, 8 
振,chhin2,,chh,in, 2 
挱,so1,,s,o, 1 
挹,qip4,,q,ip, 4 
挺,theng2,,th,eng, 2 
挽,boan2,,b,oan, 2 
挾,hiap8,,h,iap, 8 
捃,khun2,,kh,un, 2 
捄,kiu3,0.01 ,k,iu, 3 
捄,kiu5,,k,iu, 5 
捆,khun2,,kh,un, 2 
捉,chiok4,,ch,iok, 4 
捋,loat8,,l,oat, 8 
捌,pat4,,p,at, 4 
捍,han7,,h,an, 7 
捎,sau1,,s,au, 1 
捏,liap4,,l,iap, 4 
捐,koan1,,k,oan, 1 
捔,kak4,,k,ak, 4 
捕,poo5,,p,oo, 5 
捕,poo7,,p,oo, 7 
捘,chun7,,ch,un, 7 
效,hau7,,h,au, 7 
敉,bi2,,b,i, 2 
料,liau7,,l,iau, 7 
斚,ke2,0.01 ,k,e, 2 
旁,pong5,,p,ong, 5 
旂,ki5,0.01 ,k,i, 5 
旃,chhian1,,chh,ian, 1 
旄,bonn5,,b,onn, 5 
旅,li2,,l,i, 2 
晁,tiau7,0.01 ,t,iau, 7 
時,si5,,s,i, 5 
晃,hong2,,h,ong, 2 
晃,long2,,l,ong, 2 
晅,soan1,,s,oan, 1 
晉,chhin3,,chh,in, 3 
晋,chhin3,0.01 ,chh,in, 3 
晏,qan3,,q,an, 3 
晒,sai3,0.01 ,s,ai, 3 
晟,seng7,,s,eng, 7 
書,si1,,s,i, 1 
朔,sok4,,s,ok, 4 
朕,tim7,,t,im, 7 
朗,long2,,l,ong, 2 
柴,chai5,,ch,ai, 5 
栖,se1,0.01 ,s,e, 1 
栗,lek4,,l,ek, 4 
栝,thiam3,0.01 ,th,iam, 3 
栟,peng1,,p,eng, 1 
校,hau7,,h,au, 7 
校,kau3,,k,au, 3 
栢,pek4,0.01 ,p,ek, 4 
栩,hi2,,h,i, 2 
栩,phun2,,ph,un, 2 
株,ti1,,t,i, 1 
栯,qiu7,,q,iu, 7 
栰,hoat8,,h,oat, 8 
栱,keng2,,k,eng, 2 
栱,kiong2,,k,iong, 2 
栲,kho2,,kh,o, 2 
栳,lo2,,l,o, 2 
栴,chhian1,,chh,ian, 1 
栵,li7,,l,i, 7 
核,hek8,,h,ek, 8 
核,hut8,,h,ut, 8 
根,kin1,,k,in, 1 
栻,sek4,,s,ek, 4 
格,kek4,,k,ek, 4 
栽,chhai1,,chh,ai, 1 
桀,kiat8,,k,iat, 8 
桁,hang5,,h,ang, 5 
桁,heng5,,h,eng, 5 
桂,kui3,,k,ui, 3 
桃,tho5,,th,o, 5 
桅,qui5,,q,ui, 5 
框,khong1,,kh,ong, 1 
案,qan3,,q,an, 3 
桊,koan3,,k,oan, 3 
桌,tok4,,t,ok, 4 
桍,khoa5,,kh,oa, 5 
桎,chhit4,,chh,it, 4 
桐,tong5,,t,ong, 5 
桑,song1,,s,ong, 1 
桓,hoan5,,h,oan, 5 
桔,kiat4,0.01 ,k,iat, 4 
桔,kit4,,k,it, 4 
梳,se1,,s,e, 1 
梳,soo1,,s,oo, 1 
欬,khai3,,kh,ai, 3 
歬,chhian5,0.01 ,chh,ian, 5 
殉,sun5,,s,un, 5 
殊,su5,,s,u, 5 
殷,qin1,,q,in, 1 
殷,qin2,,q,in, 2 
毨,sian2,,s,ian, 2 
氣,khi3,,kh,i, 3 
氤,qin1,,q,in, 1 
泰,thai3,,th,ai, 3 
浘,boe2,,b,oe, 2 
浙,chhiat4,,chh,iat, 4 
浚,chhun3,,chh,un, 3 
浞,chiok4,,ch,iok, 4 
浡,put8,,p,ut, 8 
浣,qoan2,,q,oan, 2 
浥,qip4,,q,ip, 4 
浦,phoo2,,ph,oo, 2 
浩,ho7,,h,o, 7 
浪,long5,,l,ong, 5 
浪,long7,,l,ong, 7 
浮,hu5,,h,u, 5 
浯,goo5,,g,oo, 5 
浰,li7,,l,i, 7 
浲,hong5,,h,ong, 5 
浴,qiok8,,q,iok, 8 
海,hai2,,h,ai, 2 
浸,chhim3,,chh,im, 3 
浹,chhap4,,chh,ap, 4 
浼,boe2,,b,oe, 2 
浽,sui1,,s,ui, 1 
涂,too5,,t,oo, 5 
涅,liap4,,l,iap, 4 
涆,han7,,h,an, 7 
涇,keng1,,k,eng, 1 
消,siau1,,s,iau, 1 
涉,siap8,,s,iap, 8 
涌,qiong2,0.01 ,q,iong, 2 
涒,thun1,,th,un, 1 
涓,koan1,,k,oan, 1 
涔,gim5,,g,im, 5 
涕,the3,,th,e, 3 
涖,li7,0.01 ,l,i, 7 
涖,linn7,0.01 ,l,inn, 7 
涘,su7,,s,u, 7 
烈,liat8,,l,iat, 8 
烊,qiang5,,q,iang, 5 
烋,hau1,,h,au, 1 
烋,hiu1,,h,iu, 1 
烏,qoo1,,q,oo, 1 
烕,biat8,0.01 ,b,iat, 8 
烘,hong1,,h,ong, 1 
烙,lok8,,l,ok, 8 
烜,hui2,,h,ui, 2 
烜,soan1,,s,oan, 1 
烞,pok4,,p,ok, 4 
烟,hun1,,h,un, 1 
烟,qian1,0.01 ,q,ian, 1 
烢,chia2,0.01 ,ch,ia, 2 
爹,tia1,,t,ia, 1 
牂,chhong1,,chh,ong, 1 
牷,chhoan5,,chh,oan, 5 
牸,ju7,,j,u, 7 
特,tek8,,t,ek, 8 
狴,pi2,,p,i, 2 
狷,koan3,,k,oan, 3 
狸,li5,,l,i, 5 
狹,hiap8,,h,iap, 8 
狺,gin5,,g,in, 5 
狻,chhun3,,chh,un, 3 
狼,long5,,l,ong, 5 
狽,poe7,,p,oe, 7 
玼,chu2,,ch,u, 2 
珓,kau3,,k,au, 3 
珙,kiong2,,k,iong, 2 
珞,lok8,,l,ok, 8 
珠,chhu1,,chh,u, 1 
珢,gin5,,g,in, 5 
珣,sun5,,s,un, 5 
珥,ji7,,j,i, 7 
珩,heng5,,h,eng, 5 
珪,kui1,0.01 ,k,ui, 1 
班,pan1,,p,an, 1 
珮,poe7,,p,oe, 7 
琉,liu5,,l,iu, 5 
瓞,tiat8,,t,iat, 8 
瓵,qi5,,q,i, 5 
甡,sin1,,s,in, 1 
畔,poan7,,p,oan, 7 
畕,kang1,,k,ang, 1 
畗,hok4,,h,ok, 4 
留,liu5,,l,iu, 5 
畚,pun2,,p,un, 2 
畛,chhin2,,chh,in, 2 
畜,hiok4,,h,iok, 4 
畝,boo2,,b,oo, 2 
畟,chhek4,,chh,ek, 4 
疱,phau3,,ph,au, 3 
疲,phi5,,ph,i, 5 
疳,kam1,,k,am, 1 
疴,qo1,,q,o, 1 
疶,siat4,,s,iat, 4 
疸,than2,,th,an, 2 
疹,chhin2,,chh,in, 2 
疼,tong5,,t,ong, 5 
疽,chi1,,ch,i, 1 
疾,chhit8,,chh,it, 8 
疿,pui3,,p,ui, 3 
痀,khi1,,kh,i, 1 
痁,siam1,,s,iam, 1 
病,peng7,,p,eng, 7 
症,chhin3,,chh,in, 3 
皋,ko1,,k,o, 1 
皰,phau3,,ph,au, 3 
益,qek4,,q,ek, 4 
益,qiok4,0.10 ,q,iok, 4 
盌,qoan2,0.01 ,q,oan, 2 
盍,qap8,,q,ap, 8 
盎,qiang3,,q,iang, 3 
眐,chheng1,,chh,eng, 1 
眖,hong3,,h,ong, 3 
眘,sin7,0.01 ,s,in, 7 
眚,seng2,,s,eng, 2 
真,chhin1,,chh,in, 1 
眠,bian5,,b,ian, 5 
眧,chiau2,,ch,iau, 2 
眩,hian5,,h,ian, 5 
眪,peng2,,p,eng, 2 
矩,ki2,,k,i, 2 
砠,chi1,,ch,i, 1 
砥,ti2,,t,i, 2 
砧,chhim1,,chh,im, 1 
砭,pian2,,p,ian, 2 
砰,pheng1,,ph,eng, 1 
砲,phau3,,ph,au, 3 
破,pho3,,ph,o, 3 
砵,poat4,,p,oat, 4 
祐,qiu7,0.01 ,q,iu, 7 
祑,tiat8,,t,iat, 8 
祒,thiau1,,th,iau, 1 
祓,hut4,,h,ut, 4 
祕,pi3,,p,i, 3 
祖,chhoo2,,chh,oo, 2 
祗,ki5,,k,i, 5 
祗,ti2,,t,i, 2 
祘,soan3,0.01 ,s,oan, 3 
祚,chhoo3,,chh,oo, 3 
祚,chhoo7,,chh,oo, 7 
祚,choo3,,ch,oo, 3 
祛,khi1,,kh,i, 1 
祜,hoo7,,h,oo, 7 
祝,chhiok4,,chh,iok, 4 
神,sin5,,s,in, 5 
祟,sui3,,s,ui, 3 
祠,su5,,s,u, 5 
秘,pi3,0.01 ,p,i, 3 
租,chhoo1,,chh,oo, 1 
秠,phi1,,ph,i, 1 
秣,boat4,,b,oat, 4 
秤,cheng3,,ch,eng, 3 
秤,chin3,0.01 ,ch,in, 3 
秦,chhin5,,chh,in, 5 
秧,qiang1,,q,iang, 1 
秩,tiat8,,t,iat, 8 
秫,chhut8,,chh,ut, 8 
秫,tut8,,t,ut, 8 
称,cheng1,0.01 ,ch,eng, 1 
窄,chhek4,,chh,ek, 4 
窅,biau2,,b,iau, 2 
窆,pian3,,p,ian, 3 
窈,qiau2,,q,iau, 2 
窊,qoa5,,q,oa, 5 
窋,chhut4,,chh,ut, 4 
窌,kau3,0.01 ,k,au, 3 
站,chham7,,chh,am, 7 
竚,thi2,0.01 ,th,i, 2 
竝,peng7,0.01 ,p,eng, 7 
笄,ke1,,k,e, 1 
笆,pa1,,p,a, 1 
笈,khip4,,kh,ip, 4 
笊,chau3,,ch,au, 3 
笋,sun2,0.01 ,s,un, 2 
笏,hut4,,h,ut, 4 
笑,chiau3,,ch,iau, 3 
笑,siau3,,s,iau, 3 
笔,pit4,0.01 ,p,it, 4 
粃,pi2,,p,i, 2 
粉,hun2,,h,un, 2 
紊,bun7,,b,un, 7 
紋,bun5,,b,un, 5 
納,lap8,,l,ap, 8 
紐,liu2,,l,iu, 2 
紑,hu5,,h,u, 5 
紓,si1,,s,i, 1 
純,sun5,,s,un, 5 
紕,phe1,,ph,e, 1 
紕,phe3,,ph,e, 3 
紕,pi7,,p,i, 7 
紖,qin2,,q,in, 2 
紗,se1,,s,e, 1 
紘,hong5,,h,ong, 5 
紙,chhi2,,chh,i, 2 
級,kip4,,k,ip, 4 
紛,hun1,,h,un, 1 
紜,qin5,,q,in, 5 
紞,tam2,,t,am, 2 
紟,khim1,,kh,im, 1 
素,soo3,,s,oo, 3 
紡,hong2,,h,ong, 2 
索,sek4,,s,ek, 4 
缺,khoat4,,kh,oat, 4 
罛,koo1,,k,oo, 1 
罝,chhia1,,chh,ia, 1 
罞,bong5,,b,ong, 5 
罟,koo2,,k,oo, 2 
罡,kong1,,k,ong, 1 
羓,pa1,,p,a, 1 
羔,ko1,,k,o, 1 
羖,koo2,,k,oo, 2 
羗,kiang1,0.01 ,k,iang, 1 
翁,qong1,,q,ong, 1 
翅,chi3,,ch,i, 3 
翅,thi3,0.10 ,th,i, 3 
耄,bonn7,,b,onn, 7 
耆,ki5,,k,i, 5 
耊,tiat8,0.01 ,t,iat, 8 
耕,keng1,,k,eng, 1 
耗,honn3,,h,onn, 3 
耘,qin5,,q,in, 5 
耻,thi2,0.01 ,th,i, 2 
耼,tam1,0.01 ,t,am, 1 
耽,tam1,,t,am, 1 
耿,keng2,,k,eng, 2 
胭,qian1,,q,ian, 1 
胮,phong1,,ph,ong, 1 
胯,khoa1,,kh,oa, 1 
胱,kong1,,k,ong, 1 
胳,kok4,,k,ok, 4 
胷,hiong1,0.01 ,h,iong, 1 
胸,heng1,,h,eng, 1 
胸,hiong1,,h,iong, 1 
胹,ji5,,j,i, 5 
胼,pian5,,p,ian, 5 
能,leng5,,l,eng, 5 
脂,chhi1,,chh,i, 1 
脅,hiap8,,h,iap, 8 
脆,chui3,,ch,ui, 3 
脈,bek8,,b,ek, 8 
脊,chhit4,,chh,it, 4 
臬,giat8,,g,iat, 8 
臭,chiu3,,ch,iu, 3 
舀,qiau2,,q,iau, 2 
舐,chhi7,,chh,i, 7 
舨,pan2,,p,an, 2 
舨,poan2,,p,oan, 2 
航,hong5,,h,ong, 5 
舫,hong2,,h,ong, 2 
般,poan1,,p,oan, 1 
般,poan2,,p,oan, 2 
般,poan5,,p,oan, 5 
般,poat4,,p,oat, 4 
芻,chhoo1,,chh,oo, 1 
茈,chu2,,ch,u, 2 
茈,chu5,,ch,u, 5 
茗,beng2,,b,eng, 2 
茘,le7,0.01 ,l,e, 7 
茜,chian3,,ch,ian, 3 
茨,chhu1,,chh,u, 1 
茨,chhu5,,chh,u, 5 
茫,bong5,,b,ong, 5 
茭,kau1,,k,au, 1 
茯,hok8,,h,ok, 8 
茱,chhu1,,chh,u, 1 
茲,chhu1,0.01 ,chh,u, 1 
茲,si1,,s,i, 1 
茴,hoe5,,h,oe, 5 
茵,qin1,,q,in, 1 
茶,te5,,t,e, 5 
茸,jiong2,,j,iong, 2 
茸,jiong5,,j,iong, 5 
茹,ji2,,j,i, 2 
茹,ji5,,j,i, 5 
荀,sun5,,s,un, 5 
荅,tap4,0.01 ,t,ap, 4 
荇,heng7,,h,eng, 7 
荈,chun2,,ch,un, 2 
草,cho2,,ch,o, 2 
荍,kiau5,,k,iau, 5 
荏,jim2,,j,im, 2 
荐,chhian3,,chh,ian, 3 
荒,hong1,,h,ong, 1 
荔,le7,,l,e, 7 
荖,lau2,,l,au, 2 
虒,ti5,,t,i, 5 
虓,hau1,,h,au, 1 
虔,khian5,,kh,ian, 5 
蚉,bun2,0.01 ,b,un, 2 
蚊,bun2,,b,un, 2 
蚋,joe7,,j,oe, 7 
蚌,pang7,,p,ang, 7 
蚑,ki5,,k,i, 5 
蚓,qin2,,q,in, 2 
蚕,thian2,,th,ian, 2 
蚣,kong1,,k,ong, 1 
蚤,chho2,,chh,o, 2 
蚨,hu5,,h,u, 5 
蚩,chi1,,ch,i, 1 
蚪,too2,,t,oo, 2 
衰,soe1,,s,oe, 1 
衲,lap8,,l,ap, 8 
衵,jit8,,j,it, 8 
衷,thiong1,,th,iong, 1 
衺,sia5,0.01 ,s,ia, 5 
衽,jim2,,j,im, 2 
衾,khim1,,kh,im, 1 
衿,khim1,,kh,im, 1 
袁,qoan5,,q,oan, 5 
訊,sin3,,s,in, 3 
討,tho2,,th,o, 2 
訏,hi1,,h,i, 1 
訏,hi2,,h,i, 2 
訐,khiat4,,kh,iat, 4 
訑,ti5,,t,i, 5 
訒,jim7,,j,im, 7 
訓,hun3,,h,un, 3 
訕,san3,,s,an, 3 
訖,git4,,g,it, 4 
託,thok4,,th,ok, 4 
記,ki3,,k,i, 3 
豈,khai2,0.01 ,kh,ai, 2 
豈,khi2,,kh,i, 2 
豺,chai5,,ch,ai, 5 
財,chhai5,,chh,ai, 5 
貢,khong3,,kh,ong, 3 
貢,kong3,,k,ong, 3 
起,khi2,,kh,i, 2 
趶,qu1,,q,u, 1 
躬,kiong1,,k,iong, 1 
軏,goat8,,g,oat, 8 
軒,hian1,,h,ian, 1 
軓,hoan7,,h,oan, 7 
軔,jim7,,j,im, 7 
辱,jiok8,,j,iok, 8 
迴,hoe5,0.01 ,h,oe, 5 
迷,be5,,b,e, 5 
迸,peng2,,p,eng, 2 
迹,chhek4,,chh,ek, 4 
追,tui1,,t,ui, 1 
