Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
切,chi3,,ch,i, 3 
切,chiat4,,ch,iat, 4 
刈,gainn7,,g,ainn, 7 
勻,qin5,,q,in, 5 
勾,koo1,,k,oo, 1 
勿,but8,,b,ut, 8 
匀,qin5,,q,in, 5 
化,hoa3,,h,oa, 3 
匹,phit4,,ph,it, 4 
卅,sap8,,s,ap, 8 
卆,chhut4,0.01 ,chh,ut, 4 
升,seng1,,s,eng, 1 
午,gonn2,,g,onn, 2 
卞,pian7,,p,ian, 7 
卬,gong5,,g,ong, 5 
厄,go2,,g,o, 2 
厄,qek4,,q,ek, 4 
厹,jiu2,,j,iu, 2 
厹,kiu5,,k,iu, 5 
及,kip8,,k,ip, 8 
友,qiu2,,q,iu, 2 
双,song1,0.01 ,s,ong, 1 
反,hoan2,,h,oan, 2 
圠,qat4,,q,at, 4 
壬,jim5,,j,im, 5 
天,thian1,,th,ian, 1 
太,thai3,,th,ai, 3 
夫,hu1,,h,u, 1 
夫,hu5,,h,u, 5 
夬,koai2,,k,oai, 2 
夭,qiau1,,q,iau, 1 
夭,qiau2,,q,iau, 2 
孔,khong2,,kh,ong, 2 
尐,tiap4,,t,iap, 4 
少,siau2,,s,iau, 2 
少,siau3,,s,iau, 3 
尤,qiu5,,q,iu, 5 
尹,qin2,,q,in, 2 
尺,chek4,,ch,ek, 4 
尺,chiok4,,ch,iok, 4 
屯,chhun1,,chh,un, 1 
屯,tun5,,t,un, 5 
屯,tun7,,t,un, 7 
巴,pa1,,p,a, 1 
帀,chhap4,0.01 ,chh,ap, 4 
幻,hoan3,,h,oan, 3 
幻,hoan7,,h,oan, 7 
开,khian1,0.01 ,kh,ian, 1 
弌,qit4,0.01 ,q,it, 4 
弔,tek4,,t,ek, 4 
弔,tiau3,0.01 ,t,iau, 3 
引,qin2,,q,in, 2 
心,sim1,,s,im, 1 
戈,ko1,,k,o, 1 
戶,hoo7,,h,oo, 7 
手,siu2,,s,iu, 2 
支,chhi1,,chh,i, 1 
攴,phok4,,ph,ok, 4 
文,bun5,,b,un, 5 
斗,too2,,t,oo, 2 
斤,kin1,,k,in, 1 
方,hong1,,h,ong, 1 
无,bu5,0.01 ,b,u, 5 
日,jit8,,j,it, 8 
曰,qoat8,,q,oat, 8 
月,goat8,,g,oat, 8 
月,jiok8,0.01 ,j,iok, 8 
木,bok8,,b,ok, 8 
欠,khiam3,,kh,iam, 3 
止,chhi2,,chh,i, 2 
歹,tai2,,t,ai, 2 
殳,su5,,s,u, 5 
毋,bu5,,b,u, 5 
比,pi2,,p,i, 2 
比,pi7,,p,i, 7 
毛,bonn5,,b,onn, 5 
氏,si7,,s,i, 7 
气,khi3,0.01 ,kh,i, 3 
水,sui2,,s,ui, 2 
火,honn2,,h,onn, 2 
爪,jiau2,,j,iau, 2 
父,hu2,,h,u, 2 
父,hu7,,h,u, 7 
爻,gaunn5,,g,aunn, 5 
片,phian3,,ph,ian, 3 
牙,ge5,,g,e, 5 
牛,giunn5,,g,iunn, 5 
犬,khian2,,kh,ian, 2 
王,qong5,,q,ong, 5 
王,qong7,,q,ong, 7 
𠆦,chhe7,0.01 ,chh,e, 7 
𡈼,theng2,,th,eng, 2 
𡗓,lip8,0.01 ,l,ip, 8 
𡴭,qoat4,,q,oat, 4 
㐰,sin3,0.01 ,s,in, 3 
㐱,chhin2,0.01 ,chh,in, 2 
㐲,tai7,,t,ai, 7 
㐳,gut8,,g,ut, 8 
㓜,qiu3,0.01 ,q,iu, 3 
㘝,liap8,,l,iap, 8 
㘞,ho7,,h,o, 7 
㞧,hoe7,0.01 ,h,oe, 7 
㠯,qi2,0.01 ,q,i, 2 
㣔,teng1,0.01 ,t,eng, 1 
且,chhoo1,,chh,oo, 1 
且,chi1,0.10 ,ch,i, 1 
且,chiann2,,ch,iann, 2 
丕,phi1,,ph,i, 1 
世,si3,,s,i, 3 
丗,si3,0.01 ,s,i, 3 
丘,khiu1,,kh,iu, 1 
丙,peng2,,p,eng, 2 
丱,koan3,,k,oan, 3 
主,chhu2,,chh,u, 2 
丼,tam2,,t,am, 2 
丼,tam3,,t,am, 3 
丼,tim2,,t,im, 2 
乍,chhe7,,chh,e, 7 
乎,hoo7,,h,oo, 7 
乏,hoat8,,h,oat, 8 
仔,chhu2,,chh,u, 2 
仕,su7,,s,u, 7 
他,thann1,,th,ann, 1 
他,to5,,t,o, 5 
仗,tiang2,,t,iang, 2 
仗,tiang7,,t,iang, 7 
付,hu3,,h,u, 3 
仙,sian1,,s,ian, 1 
仚,hian1,,h,ian, 1 
仛,che2,,ch,e, 2 
仛,thok4,,th,ok, 4 
仜,hong5,,h,ong, 5 
仝,tong5,0.01 ,t,ong, 5 
仞,jim7,,j,im, 7 
仟,chian1,,ch,ian, 1 
仠,han7,0.01 ,h,an, 7 
仡,git4,,g,it, 4 
仡,gut8,,g,ut, 8 
仢,hiak8,,h,iak, 8 
代,tai7,,t,ai, 7 
令,leng5,,l,eng, 5 
令,leng7,,l,eng, 7 
以,qi2,,q,i, 2 
兄,heng1,,h,eng, 1 
充,chiong1,,ch,iong, 1 
冉,jiam2,,j,iam, 2 
冊,chek4,,ch,ek, 4 
冬,tong1,,t,ong, 1 
凸,tut8,,t,ut, 8 
凹,qau1,0.01 ,q,au, 1 
凹,thap4,,th,ap, 4 
出,chut4,,ch,ut, 4 
刊,khan1,,kh,an, 1 
刋,chian3,,ch,ian, 3 
功,kong1,,k,ong, 1 
加,ke1,,k,e, 1 
匃,kai3,0.01 ,k,ai, 3 
匄,kai3,,k,ai, 3 
包,pau1,,p,au, 1 
匆,chong1,,ch,ong, 1 
北,pok4,,p,ok, 4 
匜,qi5,,q,i, 5 
匝,chhap4,,chh,ap, 4 
卉,hui7,,h,ui, 7 
半,poan3,,p,oan, 3 
占,chhiam1,0.10 ,chh,iam, 1 
占,chhiam3,,chh,iam, 3 
卮,chhi1,,chh,i, 1 
卯,bau2,,b,au, 2 
厈,gan7,,g,an, 7 
厉,le7,0.01 ,l,e, 7 
厺,khi3,0.01 ,kh,i, 3 
去,khi3,,kh,i, 3 
古,koo2,,k,oo, 2 
句,ki3,,k,i, 3 
句,koo1,0.01 ,k,oo, 1 
句,koo3,,k,oo, 3 
句,ku3,,k,u, 3 
另,leng7,,l,eng, 7 
叨,tho1,,th,o, 1 
叩,khoo3,,kh,oo, 3 
只,chhi2,,chh,i, 2 
叫,kiau3,,k,iau, 3 
召,tiau7,,t,iau, 7 
叭,phoat4,,ph,oat, 4 
叮,teng1,,t,eng, 1 
